negative  	{'BIGRAM_hate_https': 0.5, 'TRIGRAM_hate_https_//t.co/8jq411twqn': 0.5, 'UNI_//t.co/8jq411twqn': 0.5, 'TRIGRAM_nvm_hate_https': 0.5, 'BIGRAM_nvm_hate': 0.5, 'UNI_hate': 0.5, 'UNI_https': 0.5, 'UNI_nvm': 0.5, 'BIGRAM_https_//t.co/8jq411twqn': 0.5}
negative  	{'UNI_sit': 0.5, 'BIGRAM_feeling_see': 0.5, 'UNI_pretend': 0.5, 'TRIGRAM_literally_sinks_sit': 0.5, 'UNI_sinks': 0.5, 'BIGRAM_myiostsoul_hate': 0.5, 'BIGRAM_see_something': 0.5, 'BIGRAM_sit_pretend': 0.5, 'TRIGRAM_myiostsoul_hate_feeling': 0.5, 'UNI_heart': 0.5, 'TRIGRAM_rt_myiostsoul_hate': 0.5, 'TRIGRAM_see_something_heart': 0.5, 'BIGRAM_rt_myiostsoul': 0.5, 'UNI_myiostsoul': 0.5, 'BIGRAM_heart_literally': 0.5, 'UNI_t…': 0.5, 'BIGRAM_hate_feeling': 0.5, 'UNI_rt': 0.5, 'BIGRAM_sinks_sit': 0.5, 'TRIGRAM_something_heart_literally': 0.5, 'BIGRAM_pretend_t…': 0.5, 'UNI_literally': 0.5, 'TRIGRAM_hate_feeling_see': 0.5, 'TRIGRAM_sinks_sit_pretend': 0.5, 'UNI_something': 0.5, 'UNI_see': 0.5, 'BIGRAM_literally_sinks': 0.5, 'TRIGRAM_feeling_see_something': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_sit_pretend_t…': 0.5, 'BIGRAM_something_heart': 0.5, 'UNI_feeling': 0.5, 'TRIGRAM_heart_literally_sinks': 0.5}
negative  	{'UNI_anger': 0.5, 'BIGRAM_proven_party': 0.5, 'TRIGRAM_proven_party_hate': 0.5, 'BIGRAM_intolerance_anger': 0.5, 'UNI_democrat': 0.5, 'UNI_racism': 0.5, 'TRIGRAM_party_hate_racism': 0.5, 'UNI_bigotry': 0.5, 'UNI_amp': 0.5, 'TRIGRAM_racism_bigotry_intolerance': 0.5, 'BIGRAM_amp_violence': 0.5, 'BIGRAM_hate_racism': 0.5, 'BIGRAM_party_hate': 0.5, 'BIGRAM_racism_bigotry': 0.5, 'TRIGRAM_anger_amp_violence': 0.5, 'TRIGRAM_democrat_party_proven': 0.5, 'UNI_amymek': 0.5, 'TRIGRAM_party_proven_party': 0.5, 'UNI_party': 0.5, 'UNI_rt': 0.5, 'BIGRAM_anger_amp': 0.5, 'BIGRAM_rt_amymek': 0.5, 'BIGRAM_democrat_party': 0.5, 'TRIGRAM_intolerance_anger_amp': 0.5, 'UNI_proven': 0.5, 'TRIGRAM_amymek_democrat_party': 0.5, 'BIGRAM_party_proven': 0.5, 'BIGRAM_bigotry_intolerance': 0.5, 'TRIGRAM_hate_racism_bigotry': 0.5, 'TRIGRAM_bigotry_intolerance_anger': 0.5, 'TRIGRAM_rt_amymek_democrat': 0.5, 'BIGRAM_amymek_democrat': 0.5, 'UNI_intolerance': 0.5, 'UNI_hate': 0.5, 'UNI_violence': 0.5}
negative  	{}
negative  	{'UNI_huntrepublicancon…': 0.5}
negative  	{'BIGRAM_alone_rather': 0.5, 'UNI_rt': 0.5, 'UNI_clarissamariee_': 0.5, 'TRIGRAM_alone_rather_cuddling': 0.5, 'UNI_sleeping': 0.5, 'BIGRAM_rt_clarissamariee_': 0.5, 'BIGRAM_hate_sleeping': 0.5, 'BIGRAM_rather_cuddling': 0.5, 'UNI_alone': 0.5, 'BIGRAM_clarissamariee__hate': 0.5, 'BIGRAM_sleeping_alone': 0.5, 'TRIGRAM_sleeping_alone_rather': 0.5, 'TRIGRAM_rt_clarissamariee__hate': 0.5, 'UNI_rather': 0.5, 'TRIGRAM_clarissamariee__hate_sleeping': 0.5, 'UNI_cuddling': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_hate_sleeping_alone': 0.5}
negative  	{'UNI_journalsfire': 0.5, 'UNI_rt': 0.5, 'BIGRAM_rt_journalsfire': 0.5, 'UNI_whoever': 0.5, 'TRIGRAM_rt_journalsfire_whoever': 0.5, 'BIGRAM_journalsfire_whoever': 0.5}
negative  	{'BIGRAM_hate_https': 0.5, 'TRIGRAM_hate_https_//t.co/eaept8haau': 0.5, 'BIGRAM_https_//t.co/eaept8haau': 0.5, 'UNI_//t.co/eaept8haau': 0.5, 'UNI_hate': 0.5, 'UNI_fucking': 0.5, 'BIGRAM_fucking_hate': 0.5, 'UNI_https': 0.5, 'TRIGRAM_fucking_hate_https': 0.5}
negative  	{"TRIGRAM_people_n't_seem": 0.5, 'UNI_kthopkins': 0.5, 'BIGRAM_israelmyisrael_kthopkins': 0.5, 'TRIGRAM_hate_win…_https': 0.5, "BIGRAM_n't_let": 0.5, "UNI_n't": 0.5, 'TRIGRAM_israelmyisrael_kthopkins_people': 0.5, "TRIGRAM_n't_seem_angry": 0.5, 'TRIGRAM_love_amp_must': 0.5, 'BIGRAM_angry_one': 0.5, 'UNI_one': 0.5, 'UNI_let': 0.5, 'UNI_amp': 0.5, 'UNI_people': 0.5, 'BIGRAM_one_love': 0.5, 'UNI_israelmyisrael': 0.5, "TRIGRAM_amp_must_n't": 0.5, 'UNI_win…': 0.5, 'BIGRAM_amp_must': 0.5, 'UNI_love': 0.5, "BIGRAM_must_n't": 0.5, "BIGRAM_n't_seem": 0.5, 'BIGRAM_win…_https': 0.5, "TRIGRAM_kthopkins_people_n't": 0.5, 'BIGRAM_hailakhan_israelmyisrael': 0.5, 'TRIGRAM_win…_https_//t.co/5hjvauoexn': 0.5, "TRIGRAM_n't_let_hate": 0.5, 'BIGRAM_seem_angry': 0.5, "BIGRAM_people_n't": 0.5, 'BIGRAM_hate_win…': 0.5, 'UNI_must': 0.5, 'TRIGRAM_seem_angry_one': 0.5, 'UNI_https': 0.5, 'BIGRAM_https_//t.co/5hjvauoexn': 0.5, 'TRIGRAM_hailakhan_israelmyisrael_kthopkins': 0.5, 'BIGRAM_kthopkins_people': 0.5, 'TRIGRAM_let_hate_win…': 0.5, 'BIGRAM_let_hate': 0.5, 'UNI_angry': 0.5, 'UNI_//t.co/5hjvauoexn': 0.5, 'UNI_hate': 0.5, "TRIGRAM_must_n't_let": 0.5, 'UNI_seem': 0.5, 'TRIGRAM_one_love_amp': 0.5, 'TRIGRAM_angry_one_love': 0.5, 'BIGRAM_love_amp': 0.5, 'UNI_hailakhan': 0.5}
negative  	{'BIGRAM_hate_people': 0.5, 'TRIGRAM_people_say_going': 0.5, 'UNI_rt': 0.5, 'UNI_going': 0.5, "BIGRAM_something_n't": 0.5, 'UNI_say': 0.5, 'TRIGRAM_rt_jazminlinnette_hate': 0.5, 'TRIGRAM_hate_people_say': 0.5, "TRIGRAM_going_something_n't": 0.5, 'BIGRAM_jazminlinnette_hate': 0.5, 'BIGRAM_going_something': 0.5, 'BIGRAM_rt_jazminlinnette': 0.5, 'UNI_people': 0.5, 'UNI_something': 0.5, 'TRIGRAM_say_going_something': 0.5, "UNI_n't": 0.5, 'UNI_hate': 0.5, 'UNI_jazminlinnette': 0.5, 'BIGRAM_people_say': 0.5, 'TRIGRAM_jazminlinnette_hate_people': 0.5, 'BIGRAM_say_going': 0.5}
negative  	{'UNI_trying': 0.5, 'BIGRAM_one_trying': 0.5, 'TRIGRAM_one_trying_hurt': 0.5, 'UNI_need': 0.5, 'UNI_hurt': 0.5, 'UNI_support': 0.5, 'TRIGRAM_support_president_quit': 0.5, 'BIGRAM_quit_hate': 0.5, 'TRIGRAM_people_need_support': 0.5, 'UNI_hillaryclinton': 0.5, 'UNI_president': 0.5, 'BIGRAM_president_quit': 0.5, 'UNI_one': 0.5, 'TRIGRAM_president_quit_hate': 0.5, 'UNI_quit': 0.5, 'TRIGRAM_hurt_people_need': 0.5, 'TRIGRAM_hillaryclinton_one_trying': 0.5, 'BIGRAM_trying_hurt': 0.5, 'UNI_people': 0.5, 'TRIGRAM_trying_hurt_people': 0.5, 'BIGRAM_support_president': 0.5, 'BIGRAM_hillaryclinton_one': 0.5, 'BIGRAM_hurt_people': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_need_support_president': 0.5, 'BIGRAM_need_support': 0.5, 'BIGRAM_people_need': 0.5}
negative  	{'TRIGRAM_7th_8th_9th': 0.5, 'BIGRAM_9th_10th': 0.5, 'TRIGRAM_october_november_december': 0.5, 'TRIGRAM_rt_theweirdworld_hate': 0.5, 'TRIGRAM_november_december_7th': 0.5, 'BIGRAM_november_december': 0.5, 'BIGRAM_september_october': 0.5, 'UNI_september': 0.5, 'BIGRAM_10th_months': 0.5, 'UNI_8th': 0.5, 'UNI_10th': 0.5, 'UNI_theweirdworld': 0.5, 'BIGRAM_theweirdworld_hate': 0.5, 'TRIGRAM_december_7th_8th': 0.5, 'TRIGRAM_theweirdworld_hate_september': 0.5, 'UNI_rt': 0.5, 'UNI_october': 0.5, 'UNI_9th': 0.5, 'TRIGRAM_9th_10th_months': 0.5, 'UNI_7th': 0.5, 'TRIGRAM_8th_9th_10th': 0.5, 'BIGRAM_october_november': 0.5, 'BIGRAM_8th_9th': 0.5, 'TRIGRAM_hate_september_october': 0.5, 'BIGRAM_7th_8th': 0.5, 'BIGRAM_hate_september': 0.5, 'TRIGRAM_september_october_november': 0.5, 'UNI_months': 0.5, 'BIGRAM_december_7th': 0.5, 'BIGRAM_rt_theweirdworld': 0.5, 'UNI_hate': 0.5, 'UNI_december': 0.5, 'UNI_november': 0.5}
negative  	{'TRIGRAM_hate_jaypee_gone': 0.5, 'BIGRAM_jaypee_gone': 0.5, 'BIGRAM_hate_jaypee': 0.5, 'UNI_gone': 0.5, 'TRIGRAM_jaypee_gone_foo': 0.5, 'BIGRAM_gone_foo': 0.5, 'UNI_foo': 0.5, 'UNI_hate': 0.5, 'UNI_jaypee': 0.5}
negative  	{'BIGRAM_hate_feeling': 0.5, 'BIGRAM_feeling_way': 0.5, 'TRIGRAM_hate_feeling_way': 0.5, 'BIGRAM_swear_hate': 0.5, 'UNI_hate': 0.5, 'UNI_way': 0.5, 'UNI_swear': 0.5, 'UNI_feeling': 0.5, 'TRIGRAM_swear_hate_feeling': 0.5}
negative  	{'UNI_rt': 0.5, 'UNI_like': 0.5, "UNI_'d": 0.5, "BIGRAM_'d_hate": 0.5, "BIGRAM_jadaacee__'d": 0.5, 'BIGRAM_like_bitch': 0.5, 'UNI_act': 0.5, "TRIGRAM_rt_jadaacee__'d": 0.5, "TRIGRAM_'d_hate_act": 0.5, 'UNI_bitch': 0.5, 'BIGRAM_bitch_surely': 0.5, 'TRIGRAM_like_bitch_surely': 0.5, 'TRIGRAM_act_like_bitch': 0.5, 'BIGRAM_rt_jadaacee_': 0.5, 'BIGRAM_hate_act': 0.5, 'UNI_hate': 0.5, 'BIGRAM_act_like': 0.5, 'UNI_surely': 0.5, "TRIGRAM_jadaacee__'d_hate": 0.5, 'TRIGRAM_hate_act_like': 0.5, 'UNI_jadaacee_': 0.5}
negative  	{'BIGRAM_wan_na': 0.5, 'BIGRAM_impress_dress': 0.5, 'BIGRAM_justlittlepizza_dress': 0.5, 'TRIGRAM_depress_wan_na': 0.5, 'UNI_people': 0.5, 'TRIGRAM_good_people_hate': 0.5, 'UNI_depress': 0.5, 'UNI_impress': 0.5, 'BIGRAM_rt_justlittlepizza': 0.5, 'UNI_justlittlepizza': 0.5, 'TRIGRAM_dress_depress_wan': 0.5, 'TRIGRAM_impress_dress_depress': 0.5, 'TRIGRAM_rt_justlittlepizza_dress': 0.5, 'BIGRAM_good_people': 0.5, 'UNI_good': 0.5, 'UNI_rt': 0.5, 'UNI_wan': 0.5, 'TRIGRAM_justlittlepizza_dress_impress': 0.5, 'BIGRAM_dress_impress': 0.5, 'BIGRAM_people_hate': 0.5, 'TRIGRAM_na_look_good': 0.5, 'TRIGRAM_look_good_people': 0.5, 'UNI_dress': 0.5, 'BIGRAM_dress_depress': 0.5, 'TRIGRAM_dress_impress_dress': 0.5, 'BIGRAM_look_good': 0.5, 'UNI_look': 0.5, 'BIGRAM_depress_wan': 0.5, 'UNI_hate': 0.5, 'UNI_na': 0.5, 'TRIGRAM_wan_na_look': 0.5, 'BIGRAM_na_look': 0.5}
negative  	{'UNI_//t.co/qhuthuljd5': 0.5, 'BIGRAM_hate_ya': 0.5, 'UNI_rt': 0.5, 'UNI_https': 0.5, 'TRIGRAM_rt_gonzalezlouu_fucking': 0.5, "TRIGRAM_'ll_https_//t.co/qhuthuljd5": 0.5, 'UNI_fucking': 0.5, "BIGRAM_'ll_https": 0.5, "UNI_'ll": 0.5, 'BIGRAM_rt_gonzalezlouu': 0.5, 'BIGRAM_gonzalezlouu_fucking': 0.5, 'UNI_ya': 0.5, "TRIGRAM_hate_ya_'ll": 0.5, "TRIGRAM_ya_'ll_https": 0.5, 'TRIGRAM_gonzalezlouu_fucking_hate': 0.5, 'BIGRAM_https_//t.co/qhuthuljd5': 0.5, 'UNI_hate': 0.5, 'BIGRAM_fucking_hate': 0.5, "BIGRAM_ya_'ll": 0.5, 'UNI_gonzalezlouu': 0.5, 'TRIGRAM_fucking_hate_ya': 0.5}
negative  	{'BIGRAM_hate_https': 0.5, 'UNI_hate': 0.5, 'UNI_//t.co/ywlt0twoig': 0.5, 'UNI_https': 0.5, 'TRIGRAM_hate_https_//t.co/ywlt0twoig': 0.5, 'BIGRAM_https_//t.co/ywlt0twoig': 0.5}
negative  	{'UNI_rt': 0.5, 'UNI_shut': 0.5, 'TRIGRAM_talk_lot_shut': 0.5, 'BIGRAM_jadaayvette_hate': 0.5, 'UNI_hell': 0.5, 'BIGRAM_rt_jadaayvette': 0.5, 'BIGRAM_bitches_talk': 0.5, 'TRIGRAM_rt_jadaayvette_hate': 0.5, 'BIGRAM_shut_hell': 0.5, 'UNI_jadaayvette': 0.5, 'BIGRAM_lot_shut': 0.5, 'UNI_bitches': 0.5, 'BIGRAM_hate_bitches': 0.5, 'TRIGRAM_lot_shut_hell': 0.5, 'UNI_hate': 0.5, 'BIGRAM_talk_lot': 0.5, 'TRIGRAM_jadaayvette_hate_bitches': 0.5, 'UNI_talk': 0.5, 'TRIGRAM_bitches_talk_lot': 0.5, 'UNI_lot': 0.5, 'TRIGRAM_hate_bitches_talk': 0.5}
negative  	{'UNI_praying': 0.5, 'UNI_rt': 0.5, 'BIGRAM_one_much': 0.5, 'BIGRAM_arianagrande_one': 0.5, 'BIGRAM_rt_arianagrande': 0.5, 'BIGRAM_heart_broken': 0.5, 'TRIGRAM_praying_families_orlando': 0.5, 'TRIGRAM_hate_heart_broken': 0.5, 'TRIGRAM_broken_praying_families': 0.5, 'BIGRAM_much_hate': 0.5, 'UNI_broken': 0.5, 'TRIGRAM_families_orlando_vict…': 0.5, 'TRIGRAM_much_hate_heart': 0.5, 'BIGRAM_orlando_vict…': 0.5, 'UNI_vict…': 0.5, 'UNI_heart': 0.5, 'UNI_much': 0.5, 'TRIGRAM_arianagrande_one_much': 0.5, 'UNI_arianagrande': 0.5, 'TRIGRAM_rt_arianagrande_one': 0.5, 'UNI_one': 0.5, 'BIGRAM_broken_praying': 0.5, 'TRIGRAM_heart_broken_praying': 0.5, 'TRIGRAM_one_much_hate': 0.5, 'UNI_hate': 0.5, 'UNI_orlando': 0.5, 'BIGRAM_praying_families': 0.5, 'UNI_families': 0.5, 'BIGRAM_families_orlando': 0.5, 'BIGRAM_hate_heart': 0.5}
negative  	{'TRIGRAM_nerds_hate_discussions': 0.5, 'TRIGRAM_discussions_superheroes_movies': 0.5, 'UNI_superheroes': 0.5, "TRIGRAM_'m_comic_book": 0.5, 'BIGRAM_hate_discussions': 0.5, 'BIGRAM_superheroes_movies': 0.5, "BIGRAM_'m_comic": 0.5, "UNI_'m": 0.5, 'UNI_movies': 0.5, 'UNI_discussions': 0.5, 'TRIGRAM_comic_book_nerds': 0.5, 'UNI_nerds': 0.5, 'BIGRAM_discussions_superheroes': 0.5, 'TRIGRAM_book_nerds_hate': 0.5, 'TRIGRAM_hate_discussions_superheroes': 0.5, 'BIGRAM_nerds_hate': 0.5, "BIGRAM_realize_'m": 0.5, 'UNI_comic': 0.5, 'UNI_realize': 0.5, 'BIGRAM_comic_book': 0.5, 'UNI_hate': 0.5, 'BIGRAM_book_nerds': 0.5, "TRIGRAM_realize_'m_comic": 0.5, 'UNI_book': 0.5}
negative  	{'BIGRAM_lifeguards_hate': 0.5, 'BIGRAM_hate_job': 0.5, 'BIGRAM_job_much': 0.5, 'TRIGRAM_lifeguards_hate_job': 0.5, 'BIGRAM_expect_hate': 0.5, 'BIGRAM_heartening_know': 0.5, 'BIGRAM_know_lifeguards': 0.5, 'UNI_lifeguards': 0.5, "UNI_'s": 0.5, 'TRIGRAM_hate_job_much': 0.5, 'BIGRAM_much_expect': 0.5, 'TRIGRAM_know_lifeguards_hate': 0.5, 'UNI_job': 0.5, "TRIGRAM_'s_heartening_know": 0.5, 'UNI_much': 0.5, 'UNI_know': 0.5, "BIGRAM_'s_heartening": 0.5, 'UNI_hate': 0.5, 'TRIGRAM_job_much_expect': 0.5, 'TRIGRAM_heartening_know_lifeguards': 0.5, 'UNI_heartening': 0.5, 'TRIGRAM_much_expect_hate': 0.5, 'UNI_expect': 0.5}
negative  	{'TRIGRAM_like_gay_idont': 0.5, 'UNI_like': 0.5, 'UNI_honestly': 0.5, 'TRIGRAM_dont_retweet_like': 0.5, 'TRIGRAM_honestly_dont_retweet': 0.5, 'BIGRAM_gay_idont': 0.5, 'UNI_retweet': 0.5, 'BIGRAM_rt_insta_fxme': 0.5, 'BIGRAM_retweet_like': 0.5, 'UNI_insta_fxme': 0.5, 'TRIGRAM_gay_idont_hate': 0.5, 'TRIGRAM_idont_hate_gays': 0.5, 'UNI_gay': 0.5, 'UNI_rt': 0.5, 'UNI_idont': 0.5, 'UNI_dont': 0.5, 'UNI_gays': 0.5, 'BIGRAM_idont_hate': 0.5, 'BIGRAM_hate_gays': 0.5, 'UNI_//t.co/oaebvarndj': 0.5, 'TRIGRAM_gays_http_//t.co/oaebvarndj': 0.5, 'BIGRAM_honestly_dont': 0.5, 'BIGRAM_like_gay': 0.5, 'TRIGRAM_hate_gays_http': 0.5, 'TRIGRAM_rt_insta_fxme_honestly': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_insta_fxme_honestly_dont': 0.5, 'BIGRAM_insta_fxme_honestly': 0.5, 'UNI_http': 0.5, 'BIGRAM_dont_retweet': 0.5, 'TRIGRAM_retweet_like_gay': 0.5, 'BIGRAM_gays_http': 0.5, 'BIGRAM_http_//t.co/oaebvarndj': 0.5}
negative  	{'UNI_take': 0.5, 'UNI_tide': 0.5, 'TRIGRAM_tide_longer_take': 0.5, 'UNI_hold': 0.5, 'TRIGRAM_waistcoats_hold_back': 0.5, 'UNI_waistcoats': 0.5, 'TRIGRAM_four_waistcoats_hold': 0.5, 'TRIGRAM_opium_four_waistcoats': 0.5, 'BIGRAM_cushbomb_hate': 0.5, 'TRIGRAM_cushbomb_hate_daily': 0.5, 'UNI_biweekly': 0.5, 'BIGRAM_biweekly_shit': 0.5, 'BIGRAM_tide_longer': 0.5, 'TRIGRAM_back_tide_longer': 0.5, 'BIGRAM_opium_four': 0.5, 'UNI_cushbomb': 0.5, 'BIGRAM_four_waistcoats': 0.5, 'UNI_opium': 0.5, 'BIGRAM_take_biweekly': 0.5, 'BIGRAM_longer_take': 0.5, 'UNI_back': 0.5, 'UNI_shit': 0.5, 'BIGRAM_daily_opium': 0.5, 'UNI_four': 0.5, 'BIGRAM_hate_daily': 0.5, 'TRIGRAM_hate_daily_opium': 0.5, 'TRIGRAM_hold_back_tide': 0.5, 'UNI_longer': 0.5, 'TRIGRAM_daily_opium_four': 0.5, 'UNI_hate': 0.5, 'BIGRAM_back_tide': 0.5, 'TRIGRAM_take_biweekly_shit': 0.5, 'BIGRAM_hold_back': 0.5, 'TRIGRAM_longer_take_biweekly': 0.5, 'UNI_daily': 0.5, 'BIGRAM_waistcoats_hold': 0.5}
negative  	{'BIGRAM_https_//t.co/ustq0q74m5': 0.5, 'TRIGRAM_damn_mouth_nigga': 0.5, 'UNI_tired': 0.5, 'BIGRAM_tired_nigga': 0.5, 'TRIGRAM_nigga_opening_damn': 0.5, 'UNI_//t.co/ustq0q74m5': 0.5, 'BIGRAM_f…_https': 0.5, "UNI_'m": 0.5, 'TRIGRAM_tired_nigga_opening': 0.5, 'BIGRAM_stfu_reasons': 0.5, 'UNI_f…': 0.5, 'TRIGRAM_reasons_hate_lebron': 0.5, 'UNI_mouth': 0.5, 'TRIGRAM_mouth_nigga_lost': 0.5, 'BIGRAM_lebron_flop': 0.5, 'TRIGRAM_flop_king_f…': 0.5, 'BIGRAM_reasons_hate': 0.5, "BIGRAM_ca_n't": 0.5, "BIGRAM_n't_stfu": 0.5, 'TRIGRAM_opening_damn_mouth': 0.5, "TRIGRAM_n't_stfu_reasons": 0.5, "TRIGRAM_ca_n't_stfu": 0.5, 'BIGRAM_king_f…': 0.5, 'TRIGRAM_f…_https_//t.co/ustq0q74m5': 0.5, 'TRIGRAM_king_f…_https': 0.5, 'UNI_king': 0.5, 'BIGRAM_opening_damn': 0.5, 'BIGRAM_lost_ca': 0.5, 'UNI_damn': 0.5, 'UNI_stfu': 0.5, 'UNI_nigga': 0.5, 'BIGRAM_nigga_opening': 0.5, 'UNI_lost': 0.5, 'TRIGRAM_lebron_flop_king': 0.5, 'UNI_https': 0.5, 'UNI_lebron': 0.5, 'UNI_flop': 0.5, 'UNI_ca': 0.5, "BIGRAM_'m_tired": 0.5, "TRIGRAM_'m_tired_nigga": 0.5, 'TRIGRAM_nigga_lost_ca': 0.5, 'BIGRAM_flop_king': 0.5, 'BIGRAM_nigga_lost': 0.5, 'TRIGRAM_hate_lebron_flop': 0.5, 'BIGRAM_hate_lebron': 0.5, 'BIGRAM_mouth_nigga': 0.5, 'UNI_reasons': 0.5, "UNI_n't": 0.5, 'UNI_hate': 0.5, 'UNI_opening': 0.5, 'TRIGRAM_stfu_reasons_hate': 0.5, "TRIGRAM_lost_ca_n't": 0.5, 'BIGRAM_damn_mouth': 0.5}
negative  	{'UNI_time.stay': 0.5, 'TRIGRAM_must_let_the…': 0.5, 'TRIGRAM_strong_amp_remember': 0.5, 'BIGRAM_patriotism_day': 0.5, 'UNI_fam': 0.5, 'UNI_remember': 0.5, 'UNI_rt': 0.5, "UNI_'s": 0.5, 'BIGRAM_strong_amp': 0.5, 'BIGRAM_maga_fam': 0.5, 'UNI_let': 0.5, 'UNI_amp': 0.5, 'TRIGRAM_time.stay_strong_amp': 0.5, "BIGRAM_country_'s": 0.5, 'UNI_rebuilding': 0.5, 'BIGRAM_remember_show': 0.5, 'UNI_maga': 0.5, 'TRIGRAM_show_patriotism_day': 0.5, "TRIGRAM_country_'s_rebuilding": 0.5, 'BIGRAM_time.stay_strong': 0.5, 'TRIGRAM_maga_fam_country': 0.5, 'UNI_the…': 0.5, 'UNI_strong': 0.5, 'TRIGRAM_day_must_let': 0.5, "TRIGRAM_'s_rebuilding_time.stay": 0.5, 'UNI_kayajones': 0.5, 'BIGRAM_rt_kayajones': 0.5, "TRIGRAM_fam_country_'s": 0.5, 'TRIGRAM_remember_show_patriotism': 0.5, 'UNI_must': 0.5, 'TRIGRAM_patriotism_day_must': 0.5, 'BIGRAM_show_patriotism': 0.5, 'UNI_patriotism': 0.5, 'BIGRAM_kayajones_maga': 0.5, 'UNI_country': 0.5, 'BIGRAM_must_let': 0.5, 'TRIGRAM_kayajones_maga_fam': 0.5, "BIGRAM_'s_rebuilding": 0.5, 'TRIGRAM_rt_kayajones_maga': 0.5, 'BIGRAM_let_the…': 0.5, 'BIGRAM_day_must': 0.5, 'UNI_show': 0.5, 'BIGRAM_rebuilding_time.stay': 0.5, 'BIGRAM_fam_country': 0.5, 'TRIGRAM_amp_remember_show': 0.5, 'BIGRAM_amp_remember': 0.5, 'TRIGRAM_rebuilding_time.stay_strong': 0.5, 'UNI_day': 0.5}
negative  	{'BIGRAM_themarkromano_hate': 0.5, 'TRIGRAM_rt_themarkromano_hate': 0.5, 'BIGRAM_presidency_removing…': 0.5, 'BIGRAM_say_trump': 0.5, 'TRIGRAM_succeed_destroying_presidency': 0.5, 'BIGRAM_left_succeed': 0.5, 'BIGRAM_trump_fight': 0.5, 'UNI_fight': 0.5, 'BIGRAM_fight_back': 0.5, 'TRIGRAM_back_left_succeed': 0.5, 'UNI_trump': 0.5, 'TRIGRAM_say_trump_fight': 0.5, 'BIGRAM_destroying_presidency': 0.5, 'TRIGRAM_destroying_presidency_removing…': 0.5, 'UNI_succeed': 0.5, 'UNI_removing…': 0.5, 'UNI_rt': 0.5, 'TRIGRAM_hate_say_trump': 0.5, 'BIGRAM_succeed_destroying': 0.5, 'UNI_themarkromano': 0.5, 'UNI_back': 0.5, 'UNI_say': 0.5, 'UNI_left': 0.5, 'TRIGRAM_fight_back_left': 0.5, 'BIGRAM_hate_say': 0.5, 'TRIGRAM_themarkromano_hate_say': 0.5, 'UNI_presidency': 0.5, 'BIGRAM_rt_themarkromano': 0.5, 'UNI_destroying': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_left_succeed_destroying': 0.5, 'BIGRAM_back_left': 0.5, 'TRIGRAM_trump_fight_back': 0.5}
negative  	{'TRIGRAM_hate_spirit_squad': 0.5, 'TRIGRAM_want.._insane_https': 0.5, 'BIGRAM_spirit_squad': 0.5, 'UNI_want..': 0.5, 'BIGRAM_https_//t.co/t4iq6rbsl9': 0.5, 'UNI_//t.co/t4iq6rbsl9': 0.5, 'UNI_https': 0.5, 'BIGRAM_hate_spirit': 0.5, 'UNI_spirit': 0.5, 'TRIGRAM_squad_want.._insane': 0.5, 'BIGRAM_squad_want..': 0.5, 'TRIGRAM_insane_https_//t.co/t4iq6rbsl9': 0.5, 'TRIGRAM_spirit_squad_want..': 0.5, 'UNI_hate': 0.5, 'BIGRAM_want.._insane': 0.5, 'UNI_insane': 0.5, 'UNI_squad': 0.5, 'BIGRAM_insane_https': 0.5}
negative  	{'UNI_anger': 0.5, 'BIGRAM_proven_party': 0.5, 'TRIGRAM_proven_party_hate': 0.5, 'BIGRAM_intolerance_anger': 0.5, 'UNI_democrat': 0.5, 'UNI_racism': 0.5, 'TRIGRAM_party_hate_racism': 0.5, 'UNI_bigotry': 0.5, 'UNI_amp': 0.5, 'TRIGRAM_racism_bigotry_intolerance': 0.5, 'BIGRAM_amp_violence': 0.5, 'BIGRAM_hate_racism': 0.5, 'BIGRAM_party_hate': 0.5, 'BIGRAM_racism_bigotry': 0.5, 'TRIGRAM_anger_amp_violence': 0.5, 'TRIGRAM_democrat_party_proven': 0.5, 'UNI_amymek': 0.5, 'TRIGRAM_party_proven_party': 0.5, 'UNI_party': 0.5, 'UNI_rt': 0.5, 'BIGRAM_anger_amp': 0.5, 'BIGRAM_rt_amymek': 0.5, 'BIGRAM_democrat_party': 0.5, 'TRIGRAM_intolerance_anger_amp': 0.5, 'UNI_proven': 0.5, 'TRIGRAM_amymek_democrat_party': 0.5, 'BIGRAM_party_proven': 0.5, 'BIGRAM_bigotry_intolerance': 0.5, 'TRIGRAM_hate_racism_bigotry': 0.5, 'TRIGRAM_bigotry_intolerance_anger': 0.5, 'TRIGRAM_rt_amymek_democrat': 0.5, 'BIGRAM_amymek_democrat': 0.5, 'UNI_intolerance': 0.5, 'UNI_hate': 0.5, 'UNI_violence': 0.5}
negative  	{}
negative  	{'UNI_huntrepublicancon…': 0.5}
